from;to
07004;HO L.O. nederlandse taal- en letterkunde (oude stijl)
07006;HO L.O. franse taal- en letterkunde (oude stijl)
07008;HO L.O. spaanse taal- en letterkunde (oude stijl)
07010;HO L.O. duitse taal- en letterkunde (oude stijl)
07011;HO L.O. engelse taal- en letterkunde (oude stijl)
07012;HO L.O. friese taal- en letterkunde (oude stijl)
07034;HO L.O. geschiedenis (oude stijl)
07062;HO Onz. opl. taal- en literatuurwetenschap
07081;HO L.O. wijsbegeerte (oude stijl)
07084;HO Wijsbegeerte van een Bepaald Wetenschapsgebied
07151;HO L.O. wiskunde (oude stijl)
07155;HO L.O. natuurkunde (oude stijl)
07156;HO L.O. scheikunde (oude stijl)
07157;HO Apotheker
07161;HO L.O. biologie (oude stijl)
07181;HO L.O. informatica
07401;HO L.O. economie (oude stijl)
07404;HO ULO accountancy
07451;HO L.O. nederlands recht
07551;HO Arts
07553;HO Onz. opl. gezondheidswetenschap
07560;HO Tandarts
07570;HO Dierenarts
07581;HO ULO logopedie
07582;HO ULO dietetiek
07583;HO ULO verpleegkunde
07584;HO ULO fysiotherapie
07585;HO ULO ergotherapie
07601;HO ULO sociologie
07604;HO L.O. psychologie
07606;HO L.O. politicologie
07607;HO L.O. pedagogische wetenschappen
07608;HO L.O. andragogische wetenschappen
07613;HO L.O. onderwijskunde
07614;HO L.O. culturele antropologie
07615;HO L.O. communicatiewetenschap
07616;HO Onz. opl. maatschappijgeschiedenis
07617;HO ULO maatschappijgeschiedenis
07618;HO L.O. maatschappijleer (oude stijl)
07620;HO L.O. sociale geografie (oude stijl)
07710;HO L.O. kunstgeschiedenis en archeologie (oude stijl)
07720;HO L.O. sociale geografie (oude stijl)
08000;HO Eerstegraads lerarenopleiding Arabisch
08001;HO Turks
08003;HO Grieks en Latijn
08004;HO Nederlands
08006;HO Frans
08007;HO Italiaans
08008;HO Spaans
08009;HO Kennis van Godsdienst en Levensbeschouwing
08010;HO Duits
08011;HO Engels
08012;HO Fries
08014;HO Russisch
08034;HO Geschiedenis en staatsinrichting
08040;HO Hebreeuws
08041;HO Lerarenopleiding Latijn en klassieke en culturele vorming
08074;HO Bijbelkennis en cultuurgeschiedenis van het christendom
08075;HO Godsdienst / Levensbeschouwing
08081;HO Filosofie
08100;HO Godgeleerdheid
08151;HO Wiskunde
08154;HO Sterrenkunde
08155;HO Natuurkunde
08156;HO Scheikunde
08161;HO Biologie
08176;HO Aardrijkskunde
08401;HO Algemene economie
08402;HO Fiscale economie
08403;HO Bedrijfseconomie
08618;HO Maatschappijleer
08620;HO Sociale geografie
08700;HO Muziek
08710;HO Kunstgeschiedenis
08800;HO L.O.algemene economie, in-service
08801;HO L.O.bedrijfseconomie, in-service
08802;HO Technische natuurkunde
08803;HO Technische scheikunde
08804;HO L.O.wiskunde, in-service
09000;HO Economisch-juridische opleiding (coop)
09001;HO Opleiding tot verpleegkundige
09002;HO Belastingen
09003;HO Bestuurskunde
09004;HO Hoger hotelonderwijs
09005;HO Vrije studierichting economie (coop)
09006;HO Bedrijfskundige informatica
09007;HO Chemische laboratoriumopleiding
09008;HO Medische laboratoriumopleiding
09009;HO Laboratoriuminformatica en automatisering
09010;HO Analytische proces- en lab.instrumentatie
09011;HO Facilitaire dienstverlening co-op
09012;HO Maatschappelijk werk en dienstverlening
09013;HO Sociaal pedagogische hulpverlening
09014;HO Accountancy
09015;HO Personeel & arbeid
09016;HO Bedrijfseconomie
09017;HO Commerciele economie
09018;HO Hoger distributieonderwijs
09019;HO Communicatie
09020;HO Economisch linguistisch
09021;HO Milieukunde
09022;HO Coop journalistiek
09023;HO Opl. voor management, economie en recht
09024;HO Logistiek en economie
09100;HO Docent beeldende kunst en vormgeving
09101;HO Voortgezette Opleiding Typografie
09102;HO Voortgezette Opleiding Fashion
09103;HO Voortgezette opleiding choreografie
09104;HO Voortgezette Kunstopleiding Sonologie
09105;HO Voortgezette Kunstopleiding Opera
09106;HO Voortgezette Kunstopleiding Typografie en Media
09107;HO Voortgezette opleiding media design and communicatie
09108;HO Voortgezette Opleiding Danstherapie
09110;HO Autonome beeldende kunst
09111;HO Vormgeving
09112;HO Docent Muziek
09113;HO Voortgezette opleiding MFA Schilderkunst
09114;HO Voortgezette opleiding MFA Theatervormgeving/beeldregie
09201;HO Integrale veiligheid
09203;HO Vastgoed en makelaardij
09204;HO Kust- en zeestudies
09215;HO Bio-informatica
09216;HO Industriele automatisering
09218;HO Opleidingskunde
09219;HO Gezondheidszorg technologie
09300;HO Bioprodukt Management
09301;HO Installatietechnologie
09302;HO Hanse law school
09303;HO European studies
09304;HO Moleculaire Levenswetenschappen
09305;HO Informatiekunde
10001;MBOOndernemer/Manager Detailhandel (middenkaderopleiding)
10002;MBOOndernemer Groothandel (middenkaderopleiding)
10003;MBOOndernemer Ambulante Handel (middenkaderopleiding)
10004;MBOOndernemer Kleinbedrijf Textielindustrie en -Handel (middenkaderopleiding)
10005;MBOFiliaalbeheerder (middenkaderopleiding)
10006;MBODistrictsmanager (middenkaderopleiding)
10007;MBOHoofd Magazijn (middenkaderopleiding)
10008;MBOVerkoopchef (vakopleiding)
10009;MBOAfdelingschef Kassa (vakopleiding)
10010;MBOEerste Verkoper (vakopleiding)
10011;MBOGroepsleider Magazijn (vakopleiding)
10012;MBOVertegenwoordiger (vakopleiding)
10013;MBOMedewerker Inkoop (vakopleiding)
10014;MBOCommercieel Medewerker Binnendienst (vakopleiding)
10015;MBOExportmedewerker Binnendienst (vakopleiding)
10016;MBOExportmedewerker Buitendienst (vakopleiding)
10017;MBOAssistent Exportmanager (vakopleiding)
10018;MBOLeidinggevende Textielindustrie en -Handel (vakopleiding)
10019;MBOVerkoopmedewerker (basisberoepsopleiding)
10020;MBOVerkoop Medewerker Ambulante Handel (basisberoepsopleiding)
10021;MBOMagazijnmedewerker (basisberoepsopleiding)
10022;MBOWinkelassistent (assistentenopleiding)
10023;MBOOpslagmedewerker (assistentenopleiding)
10024;MBOOrderpicker (assistentenopleiding)
10025;MBOSociaal Juridisch Medewerker - Sociale Zekerheid (middenkaderopleiding)
10026;MBOSociaal Juridisch Medewerker - Arbeidsvoorziening en Personeelswerk (middenkaderopleiding)
10027;MBOAdministratief Juridisch Medewerker-Openbaar Bestuur (middenkaderopleiding)
10028;MBOBeheerder Technische Infrastructuur (middenkaderopleiding)
10029;MBOApplicatie Ontwikkelaar (specialistenopleiding)
10030;MBOApplicatiebeheerder (middenkaderopleiding)
10031;MBOSysteembeheerder MKB (middenkaderopleiding)
10032;MBONetwerkbeheerder (specialistenopleiding)
10033;MBOICT - Beheerder (specialistenopleiding)
10034;MBOMedewerker Logistiek Management - Material Management (middenkaderopleiding)
10035;MBOMedewerker Logistiek Management - Fysieke Distibutie (middenkaderopleiding)
10036;MBOCommercieel Medewerker Marketing en Communicatie (middenkaderopleiding)
10037;MBOCommercieel Medewerker Banken (middenkaderopleiding)
10038;MBOCommercieel Medewerker Verzekeringen (middenkaderopleiding)
10039;MBOAdministrateur (middenkaderopleiding)
10040;MBODirectiesecretaresse / Management Assistent (middenkaderopleiding)
10041;MBOMedewerker Beheer Informatiesystemen (vakopleiding)
10042;MBOLogistiek Medewerker Material Management (vakopleiding)
10043;MBOLogistiek Medewerker Fysieke Distributie (vakopleiding)
10044;MBOCommercieel Medewerker Binnendienst (vakopleiding)
10045;MBOBedrijfsadministratief Medewerker (basisberoepsopleiding)
10046;MBOSecretaresse (vakopleiding)
10047;MBOBeveiligingsmedewerker (basisberoepsopleiding)
10048;MBOCommercieel Administratief Medewerker (basisberoepsopleiding)
10049;MBOBoekhoudkundig Medewerker (vakopleiding)
10050;MBOSecretarieel Medewerker (basisberoepsopleiding)
10051;MBOAlgemeen Beveiligingsmedewerker (assistentenopleiding)
10052;MBOToezichthouder (assistentenopleiding)
10053;MBOAdministratief Medewerker (assistentenopleiding)
10054;MBOWerktuigbouwkunde (middenkaderopleiding)
10055;MBOWerktuigbouwkunde (vakopleiding)
10056;MBOVliegtuigonderhoudstechnicus Avionica (JAR-cat. B2) (middenkaderopleiding)
10057;MBOVliegtuigonderhoudstechnicus Mechanisch (JAR-cat. B1) (middenkaderopleiding)
10058;MBOVliegtuigbouwkunde (middenkaderopleiding)
10059;MBOVliegtuigonderhoudsmonteur Modificatie en Reparatie (vakopleiding)
10060;MBOVliegtuigmonteur (basisberoepsopleiding)
10061;MBOVliegtuigonderhoudsmonteur (basisberoepsopleiding)
10062;MBOVliegtuigbouwer Kunststoffen (basisberoepsopleiding)
10063;MBOVliegtuigbouwer Metaal (basisberoepsopleiding)
10064;MBOBank- en Plaatwerker Vliegtuigbouwkunde (basisberoepsopleiding)
10065;MBOModelmaker Hout/Kunststof (basisberoepsopleiding)
10066;MBOGieterijmedewerker (basisberoepsopleiding)
10067;MBOWerktuigbouwkundig Tekenaar/Constructeur (specialistenopleiding)
10068;MBOKaderfunctionaris (specialistenopleiding)
10069;MBOTechnisch Bedrijfsleider (specialistenopleiding)
10070;MBOWerktuigbouwkundig Tekenaar (vakopleiding)
10071;MBOAankomend Werktuigbouwkundig Tekenaar (basisberoepsopleiding)
10072;MBOLandbouwtechniek (middenkaderopleiding)
10073;MBOOnderhoudstechnicus Elektro en Instrumentatie (middenkaderopleiding)
10074;MBOOnderhoudstechnicus Instrumentatie (specialistenopleiding)
10075;MBOPetroleum, Gas- en Onderhoudstechniek (middenkaderopleiding)
10076;MBOOperationele Techniek (middenkaderopleiding)
10077;MBOOnderhoudstechnicus Werktuigbouw (specialistenopleiding)
10078;MBOEerste Monteur Landbouwmechanisatietechniek (vakopleiding)
10079;MBOOnderhoudsmonteur Elektro en Instrumentatie (vakopleiding)
10080;MBOEerste Productietechnisch Vakkracht (vakopleiding)
10081;MBOProgrammeur Robots (vakopleiding)
10082;MBOEerste Monteur Industrieel Onderhoud (vakopleiding)
10083;MBOMonteur Landbouwmechanisatietechniek (basisberoepsopleiding)
10084;MBOLandbouwmachine-Chauffeur/Monteur (basisberoepsopleiding)
10085;MBOInstallatiemonteur Elektro en Instrumentatie (basisberoepsopleiding)
10086;MBOProductietechnisch Vakkracht (basisberoepsopleiding)
10087;MBOAssemblage Vakkracht (basisberoepsopleiding)
10088;MBOOperationele Techniek (basisberoepsopleiding)
10089;MBOMonteur Montage/Onderhoud (basisberoepsopleiding)
10090;MBOAssistent Productietechnisch Vakkracht (assistentenopleiding)
10091;MBOAssistent Bankwerker Montage (assistentenopleiding)
10092;MBOResearch-Instrumentmaker Optiek (middenkaderopleiding)
10093;MBOResearch-Instrumentmaker Lasertechniek (middenkaderopleiding)
10094;MBOResearch-Instrumentmaker Glas (middenkaderopleiding)
10095;MBOResearch-Instrumentenmaker Metaal (middenkaderopleiding)
10096;MBOFijnmechanische Techniek (middenkaderopleiding)
10097;MBOProgrammeur/Verspaner CNC (vakopleiding)
10098;MBOSlijper (vakopleiding)
10099;MBOGereedschapmaker (vakopleiding)
10100;MBOMachinaal Verspaner (vakopleiding)
10101;MBOMachinaal Verspaner CNC (basisberoepsopleiding)
10102;MBOSlijper (basisberoepsopleiding)
10103;MBOInstrumentmaker (basisberoepsopleiding)
10104;MBOGraveur (basisberoepsopleiding)
10105;MBOMachinebankwerker Werktuigbouw (basisberoepsopleiding)
10106;MBOMachinebankwerker Fijnmechanisch (basisberoepsopleiding)
10107;MBOMachinaal Verspaner (basisberoepsopleiding)
10108;MBOFrezer (basisberoepsopleiding)
10109;MBODraaier (basisberoepsopleiding)
10110;MBOAssistent Machinaal Verspaner (assistentenopleiding)
10111;MBOScheepsbouwer (vakopleiding)
10112;MBOOpmeter/Werkvoorbereider Industriele Isolatie (vakopleiding)
10113;MBOPlaatwerker (vakopleiding)
10114;MBOConstructie- en Apparatenbouwer (vakopleiding)
10115;MBOScheepsmetaalbewerker (basisberoepsopleiding)
10116;MBOIsoleerder/Plaatwerker (basisberoepsopleiding)
10117;MBOPijpenbewerker (basisberoepsopleiding)
10118;MBOPlaatwerker (basisberoepsopleiding)
10119;MBOForceur (basisberoepsopleiding)
10120;MBOBankwerker Aluminium Ramen (basisberoepsopleiding)
10121;MBOConstructiebankwerker/Lasser (basisberoepsopleiding)
10122;MBOPlaat- en Constructiewerker (basisberoepsopleiding)
10123;MBOProductiemedewerker Plaatwerken (assistentenopleiding)
10124;MBOAssistent Constructiewerker/Lasser (assistentenopleiding)
10125;MBOMetaalkunde (middenkaderopleiding)
10126;MBOBooglassen (basisberoepsopleiding)
10127;MBOAspirant-Lasser (assistentenopleiding)
10128;MBOMiddenkaderopleiding Verkeer- en Stedebouwkunde (middenkaderopleiding)
10129;MBOMiddenkaderopleiding Afbouw (middenkaderopleiding)
10130;MBOMiddenkaderopleiding Bouwkunde (middenkaderopleiding)
10131;MBOAssistent Uitvoerder Burger en Utiliteitsbouw (middenkaderopleiding)
10132;MBORestauratiemedewerker (specialistenopleiding)
10133;MBOKaderfunctionaris Betontimmerbedrijven (specialistenopleiding)
10134;MBOKaderfunctionaris Tegelzetbedrijven (specialistenopleiding)
10135;MBOKaderfunctionaris Betonstaalverwerkingsbedrijven (specialistenopleiding)
10136;MBOKaderfunctionaris Natuursteenbedrijf (specialistenopleiding)
10137;MBOVakkracht Bouwtechniek (vakopleiding)
10138;MBORestauratietimmerkracht (vakopleiding)
10139;MBOVoortgezette Dakdekker (specialistenopleiding)
10140;MBOVoortgezette Metselaar (vakopleiding)
10141;MBOVoortgezette Timmerkracht (vakopleiding)
10142;MBOVakkracht Houtskeletbouw (basisberoepsopleiding)
10143;MBOBetonreparateur (basisberoepsopleiding)
10144;MBONatuursteenbewerker (basisberoepsopleiding)
10145;MBOPrimaire Dakdekker (basisberoepsopleiding)
10146;MBOBetonmodelmaker (basisberoepsopleiding)
10147;MBOOvenbouwmetselaar (basisberoepsopleiding)
10148;MBOVoeger (basisberoepsopleiding)
10149;MBOBetontimmerkracht (basisberoepsopleiding)
10150;MBOBetonstaalverwerker (basisberoepsopleiding)
10151;MBOTegelzetter (basisberoepsopleiding)
10152;MBOPrimaire Metselaar (basisberoepsopleiding)
10153;MBOPrimaire Timmerkracht (basisberoepsopleiding)
10154;MBOHulpvakkracht (basisberoepsopleiding)
10155;MBOVormgever Reclame, Presentatie en Communicatie (middenkaderopleiding)
10156;MBOMedewerker Toegepaste Vormgeving (basisberoepsopleiding)
10157;MBOChef Lakkerij (specialistenopleiding)
10158;MBOVakkracht Industriele Lakverwerking Metaal (vakopleiding)
10159;MBOVakkracht Industriele Lakverwerking Hout (vakopleiding)
10160;MBOIndustriele Lakverwerker Metaal (basisberoepsopleiding)
10161;MBOIndustriele Lakverwerker Hout (basisberoepsopleiding)
10162;MBOMetaalconserveerder (basisberoepsopleiding)
10163;MBOAssistent Metaalconserveerder (assistentenopleiding)
10164;MBOAssistent Industriele Lakverwerker (assistentenopleiding)
10165;MBOUitvoerder (specialistenopleiding)
10166;MBORestauratiestukadoor (specialistenopleiding)
10167;MBOGezel Stukadoor (vakopleiding)
10168;MBOBetonreparateur (basisberoepsopleiding)
10169;MBODekvloerenlegger (basisberoepsopleiding)
10170;MBOMonteur Systeemwanden en -Plafonds (basisberoepsopleiding)
10171;MBOStukadoor (basisberoepsopleiding)
10172;MBOOndernemer Bescherming en Afwerking (middenkaderopleiding)
10173;MBOSpecialist Wandafwerking (specialistenopleiding)
10174;MBORestauratieschilder (specialistenopleiding)
10175;MBOGezel Schilder (vakopleiding)
10176;MBOGezel Glaszetter (vakopleiding)
10177;MBOGlaszetter (basisberoepsopleiding)
10178;MBOSchilder (basisberoepsopleiding)
10179;MBOCommercieel Bedrijfsleider/Ondernemer Kleinbedrijf (middenkaderopleiding)
10180;MBOCommercieel Bedrijfsleider/Ondernemer Mobiele Werktuigen (middenkaderopleiding)
10181;MBODiagnosetechnicus Bedrijfsauto's (specialistenopleiding)
10182;MBODiagnosetechnicus Personenauto's (specialistenopleiding)
10183;MBOCommercieel Bedrijfsleider/Ondernemer Middelgroot Bedrijf (middenkaderopleiding)
10184;MBOManagement autobedrijf (middenkaderopleiding)
10185;MBOEerste Bedrijfsauto-Elektrotechnicus (specialistenopleiding)
10186;MBOEerste Auto-elektrotechnicus (specialistenopleiding)
10187;MBOMiddenkaderfunctionaris Carrosseriebedrijf (specialistenopleiding)
10188;MBOMiddenkaderf. Autoschadeherstelbedrijf c.q. Autospuitbedrijf (specialistenopleiding)
10189;MBOWerkplaatsmanager Bedrijfsauto's (specialistenopleiding)
10190;MBOServicemanager Bedrijfsauto's (middenkaderopleiding)
10191;MBOWerkplaatsmanager Personenauto's (specialistenopleiding)
10192;MBOServicemanager Personenauto's (middenkaderopleiding)
10193;MBOOnderdelenmanager (specialistenopleiding)
10194;MBOPraktijkinstructeur (specialistenopleiding)
10195;MBOVerkoopleider Bedrijfsauto's (middenkaderopleiding)
10196;MBOVerkoopleider Personenauto's (middenkaderopleiding)
10197;MBOVerkoper Bedrijfsauto's (vakopleiding)
10198;MBOVerkoper Personenauto's (vakopleiding)
10199;MBOEerste Autospuiter (vakopleiding)
10200;MBOEerste Autoschadehersteller (vakopleiding)
10201;MBOEerste Caravanhersteller (vakopleiding)
10202;MBOEerste Carrosseriebouwer (vakopleiding)
10203;MBOEerste Motorfietstechnicus (vakopleiding)
10204;MBOEerste Dieselmotortechnicus (vakopleiding)
10205;MBOEerste Bedrijfsautotechnicus (vakopleiding)
10206;MBOEerste Autotechnicus (vakopleiding)
10207;MBOEerste Verkoper Tankstation (basisberoepsopleiding)
10208;MBOOnderdelenadviseur (basisberoepsopleiding)
10209;MBOAuto-Elektricien (basisberoepsopleiding)
10210;MBOAutodemontagetechnicus (basisberoepsopleiding)
10211;MBOAssemblagetechnicus (basisberoepsopleiding)
10212;MBOCarrosseriebouwer (basisberoepsopleiding)
10213;MBODieselmotortechnicus (basisberoepsopleiding)
10214;MBORevisietechnicus (basisberoepsopleiding)
10215;MBOAutospuiter (basisberoepsopleiding)
10216;MBOVoertuiginterieurbouwer (basisberoepsopleiding)
10217;MBOAutoschadehersteller (basisberoepsopleiding)
10218;MBOCaravanhersteller (basisberoepsopleiding)
10219;MBOMotorfietstechnicus (basisberoepsopleiding)
10220;MBOBromfietstechnicus (basisberoepsopleiding)
10221;MBOFietstechnicus (basisberoepsopleiding)
10222;MBOBedrijfsautotechnicus (basisberoepsopleiding)
10223;MBOAutotechnicus (basisberoepsopleiding)
10224;MBOVerkoper Tankstation (assistentenopleiding)
10225;MBOAankomend Voorbewerker (assistentenopleiding)
10226;MBOAssistent Autotechnicus (assistentenopleiding)
10227;MBOMiddenkaderfunct. Kantoor Automatiseringstechniek (MK-TKA) (middenkaderopleiding)
10228;MBOMiddenkaderfunct. Productie Automatiseringstechniek (MK-TPA) (middenkaderopleiding)
10229;MBOMiddenkaderfuctionaris Computer Interfacetechniek (MK-CIT) (middenkaderopleiding)
10230;MBOMiddenkaderfunctionaris Telematica (MK-TMA) (middenkaderopleiding)
10231;MBOTechnicus Communicatiesystemen (TCS) (specialistenopleiding)
10232;MBOMiddenkaderfunctionaris Automatiserings Elektronica (MK-AEC) (middenkaderopleiding)
10233;MBOTechnicus Consumentenelektronica (TCE) (specialistenopleiding)
10234;MBOMiddenkaderfunctionaris Vliegtuigelektronicatechniek (MK-VET) (middenkaderopleiding)
10235;MBOMiddenkaderfunctionaris Automatiserings Energietechniek (MK-AEN) (middenkaderopleiding)
10236;MBOTechnicus Elektrische Bedrijfsinstallaties (TBI) (specialistenopleiding)
10237;MBOMiddenkaderf. Elektrotechnische Install. techniek (MK-EIT) (middenkaderopleiding)
10238;MBOTechnicus Sterkstroominstallaties (TSI) (specialistenopleiding)
10239;MBOTechnicus Middenspanningsinstallaties (TMI) (specialistenopleiding)
10240;MBOEerste Monteur Communicatienetten (EMCN) (vakopleiding)
10241;MBOEerste Monteur Communicatie-Installaties (EMCI) (vakopleiding)
10242;MBOEerste Monteur Consumentenelektronica (EMCE) (vakopleiding)
10243;MBOEerste Monteur Industriele Elektronica (EMIE) (vakopleiding)
10244;MBOEerste Monteur Witgoedapparaten (EMWA) (vakopleiding)
10245;MBOEerste Monteur Elektrotechnische Panelen (EMEP) (vakopleiding)
10246;MBOEerste Monteur Elektrische Vliegtuiginstallaties (EMVI) (vakopleiding)
10247;MBOEerste Monteur Elektro en Instrumentatie (EMEI) (vakopleiding)
10248;MBOEerste Monteur Elektrische Bedrijfsinstallaties (EMBI) (vakopleiding)
10249;MBOEerste Monteur Sterkstroominstallaties (EMSI) (vakopleiding)
10250;MBOEerste Monteur Middenspanningsinstallaties (EMMI) (vakopleiding)
10251;MBOEerste Monteur Laagspanningsnetten (EMLN) (vakopleiding)
10252;MBOMonteur Communicatienetten (MCN) (basisberoepsopleiding)
10253;MBOMonteur Communicatie-Installaties (MCI) (basisberoepsopleiding)
10254;MBOMonteur Consumentenelektronica (MCE) (basisberoepsopleiding)
10255;MBOMonteur Industriele Elektronica (MIE) (basisberoepsopleiding)
10256;MBOMonteur Witgoedapparaten (MWA) (basisberoepsopleiding)
10257;MBOMonteur Elektrotechnisch Wikkelen (MEW) (basisberoepsopleiding)
10258;MBOMonteur Elektrotechnische Panelen (MEP) (basisberoepsopleiding)
10259;MBOMonteur Elektrische Vliegtuiginstallaties (MVI) (basisberoepsopleiding)
10260;MBOMonteur Elektrische Bedrijfsinstallaties (MBI) (basisberoepsopleiding)
10261;MBOMonteur Sterkstroominstallaties (MSI) (basisberoepsopleiding)
10262;MBOMonteur Middenspanningsinstallaties (MMI) (basisberoepsopleiding)
10263;MBOMonteur Laagspanningsnetten (MLN) (basisberoepsopleiding)
10264;MBOAssistent Monteur Montage Elektronica Componenten (AMME) (assistentenopleiding)
10265;MBOAssistent Monteur Assemblage Elektro Componenten (AMAE) (assistentenopleiding)
10266;MBOAssistent Monteur Elektrische Vliegtuiginstallaties (AMVI) (assistentenopleiding)
10267;MBOAssistent Monteur Nieuwbouwinstallaties (AMNI) (assistentenopleiding)
10268;MBOAssistent Monteur Laagspanningsnetten (AMLN) (assistentenopleiding)
10269;MBOSpecialist Aanpassingen aan Confectieschoenen (overige opleiding)
10270;MBOOndernemer/Manager Schoenherstellersbedrijf (overige opleiding)
10271;MBOSchoenconsulent (overige opleiding)
10272;MBOOndernemer/Manager Schoendetailhandelbedrijf (overige opleiding)
10273;MBOVakbekwaam Hersteller Schoenen en Lederwaren (vakopleiding)
10274;MBOHoofdverkoper Schoendetailhandel (vakopleiding)
10275;MBOGezel Hersteller Schoenen en Lederwaren (basisberoepsopleiding)
10276;MBOVerkoopmedewerker Schoendetailhandel (basisberoepsopleiding)
10277;MBOAssistent Schoenhersteller (assistentenopleiding)
10278;MBOAssistent Schoenenverkoper (assistentenopleiding)
10279;MBOKaderfunctionaris Schoenen en Lederwaren (middenkaderopleiding)
10280;MBOIndustrieel Lederwarenvervaardiger (vakopleiding)
10281;MBOOntwerper Modelleur (vakopleiding)
10282;MBOIndustrieel Schoenmaker (vakopleiding)
10283;MBOTassenvervaardiger (basisberoepsopleiding)
10284;MBOKlein Lederwarenvervaardiger (basisberoepsopleiding)
10285;MBOAssembleur (basisberoepsopleiding)
10286;MBOStikker (basisberoepsopleiding)
10287;MBOStanzer (basisberoepsopleiding)
10288;MBOAssistent Schoenen & Lederwaren (assistentenopleiding)
10289;MBOGraveur/Ondernemer (middenkaderopleiding)
10290;MBOGraveur (vakopleiding)
10291;MBOGezel Pianotechnicus (vakopleiding)
10292;MBOAssistent Pianotechnicus (basisberoepsopleiding)
10293;MBOJuwelier/Ondernemer (middenkaderopleiding)
10294;MBOUurwerktechnicus/Ondernemer (middenkaderopleiding)
10295;MBOZilversmid/Ondernemer (middenkaderopleiding)
10296;MBOGoudsmid/Ondernemer (middenkaderopleiding)
10297;MBOJuwelier (vakopleiding)
10298;MBOUurwerktechnicus (vakopleiding)
10299;MBOZilversmid (vakopleiding)
10300;MBOGoudsmid (vakopleiding)
10301;MBOAspirant Juwelier (basisberoepsopleiding)
10302;MBOAtelier Uurwerktechnicus (basisberoepsopleiding)
10303;MBOProductiemedewerker Goud- en Zilversmeden (basisberoepsopleiding)
10304;MBOSpecialist Scoliose Orthesen (overige opleiding)
10305;MBOSpecialist Heup-, Knie-, Enkel-, Voetprothesen (overige opleiding)
10306;MBOSpecialist Armprothesen (overige opleiding)
10307;MBOOndernemer/Manager Orthopedisch Instrumentmaker/bandagist (overige opleiding)
10308;MBOPaskamermedewerker Orthopedisch/Instrumentmaker en-bandagist (specialistenopleiding)
10309;MBOOrthopedisch Bandagist (vakopleiding)
10310;MBOOrthopedisch Instrumentmaker (vakopleiding)
10311;MBOAssistent Orthopedisch Bandagist (basisberoepsopleiding)
10312;MBOAssistent Orthopedisch Instrumentenmaker (basisberoepsopleiding)
10313;MBOOrthopedisch Technisch Vakkracht (assistentenopleiding)
10314;MBOOrthopedisch Schoentechnicus (middenkaderopleiding)
10315;MBOOndernemer/Manager Orthopedisch Schoentechniek (overige opleiding)
10316;MBOPaskamermedewerker Orthopedische Schoentechniek (vakopleiding)
10317;MBOVervaardiger Orthopedische Voorzieningen Onderbeen/Voet (basisberoepsopleiding)
10318;MBOOnderwerkmaker (basisberoepsopleiding)
10319;MBOSchachtenmaker (basisberoepsopleiding)
10320;MBOLeestenmaker (basisberoepsopleiding)
10321;MBOOrthopedisch Schoentechnisch Vakkracht (assistentenopleiding)
10322;MBOOndernemer/Manager Adaptietechnieken (overige opleiding)
10323;MBOAdaptietechnicus Auto-Aanpassingen (vakopleiding)
10324;MBOAdaptietechnicus Algemeen (vakopleiding)
10325;MBOTandprotheticus (overige opleiding)
10326;MBOManager/Ondernemer Tandtechnicus (overige opleiding)
10327;MBOSpecialist Orthodontie (specialistenopleiding)
10328;MBOSpecialist Kroon- en Brugwerk (specialistenopleiding)
10329;MBOSpecialist Partiele Prothese (specialistenopleiding)
10330;MBOSpecialist Volledige Prothese (specialistenopleiding)
10331;MBOTandtechnicus (vakopleiding)
10332;MBOAssistent Tandtechnicus (basisberoepsopleiding)
10333;MBOOpticien/Ondernemer (middenkaderopleiding)
10334;MBOOpticien (vakopleiding)
10335;MBOAssistent Opticien (basisberoepsopleiding)
10336;MBOVerkoopmedewerker Optiekbedrijf (assistentenopleiding)
10337;MBOVakbekwaam Audicien (vakopleiding)
10338;MBOAssistent Audicien (basisberoepsopleiding)
10339;MBOPraktijkopleiders/Voorlieden (specialistenopleiding)
10340;MBOGrafisch Management (middenkaderopleiding)
10341;MBOMultimedia Vormgever (middenkaderopleiding)
10342;MBOGrafisch Vormgever (middenkaderopleiding)
10343;MBOGrafisch Intermediair (middenkaderopleiding)
10344;MBOAudiovisueel Medewerker (vakopleiding)
10345;MBOBoekbinder (vakopleiding)
10346;MBOUitgaafbinder (vakopleiding)
10347;MBOBrocheerder (vakopleiding)
10348;MBOVellenbewerker (vakopleiding)
10349;MBOZeefdrukker (vakopleiding)
10350;MBOFlexodrukker (vakopleiding)
10351;MBODiepdrukker (vakopleiding)
10352;MBOOffsetdrukker (vakopleiding)
10353;MBOElektronisch Voorbereider (vakopleiding)
10354;MBOBehoudsmedewerker (basisberoepsopleiding)
10355;MBOVerpakkingsoperator (basisberoepsopleiding)
10356;MBOBasisnabewerker (basisberoepsopleiding)
10357;MBOBasisdrukker (basisberoepsopleiding)
10358;MBOBasisvoorbereider (basisberoepsopleiding)
10359;MBOGrafisch Assistent (assistentenopleiding)
10360;MBOMiddenkader Medewerker Productie (middenkaderopleiding)
10361;MBOMiddenkader Medewerker Ontwikkeling (middenkaderopleiding)
10362;MBOMiddenkader Medewerker Commercie (middenkaderopleiding)
10363;MBOMedewerker Grootvak Maatkleding (vakopleiding)
10364;MBOEerste Medewerker Naai-/Perszaal (vakopleiding)
10365;MBOEerste Medewerker Snijzaal (vakopleiding)
